model,component,eigenvalue,explained_energy,cumulative_energy
CNN-SW,256,4.0896928315367715e-05,2.0372943571022023e-06,0.9999999999999991
CNN-M,1,5.857026780623887,0.21464041862437275,0.21464041862437275
CNN-M,2,3.7994662645884114,0.13923771567484106,0.3538781342992138
CNN-M,3,3.5898094530258744,0.1315544955895061,0.4854326298887199
CNN-M,4,2.647389563252253,0.09701796242388543,0.5824505923126053
CNN-M,5,2.5536413489774374,0.09358240429671388,0.6760329966093193
CNN-M,6,2.432156205146049,0.08913038058139226,0.7651633771907115
CNN-M,7,2.099508585582415,0.07693995923079465,0.8421033364215061
CNN-M,8,1.706583267372239,0.0625405620711724,0.9046438984926786
CNN-M,9,1.4004838375051705,0.051323042973479116,0.9559669414661577
CNN-M,10,0.28048852410692005,0.010278965162462322,0.96624590662862
CNN-M,11,0.10471349777756567,0.0038373990491136047,0.9700833056777336
CNN-M,12,0.07591550715989026,0.0027820491261514647,0.972865354803885
CNN-M,13,0.0648661932499903,0.002377128771172243,0.9752424835750573
CNN-M,14,0.05102963839245919,0.0018700653688390845,0.9771125489438963
CNN-M,15,0.048137406077621375,0.0017640747394519329,0.9788766236833483
CNN-M,16,0.041807387197235174,0.0015321007442363004,0.9804087244275845
CNN-M,17,0.04016662873607783,0.0014719724408914453,0.981880696868476
CNN-M,18,0.03914354749328313,0.0014344799392408368,0.9833151768077169
CNN-M,19,0.03497869363392831,0.0012818519917575525,0.9845970287994744
CNN-M,20,0.03284657733264077,0.0012037170689366157,0.985800745868411
CNN-M,21,0.029206965431580037,0.0010703374803954975,0.9868710833488066
CNN-M,22,0.024881839038512175,0.0009118360812414846,0.987782919430048
CNN-M,23,0.024663628393156094,0.0009038393917910507,0.9886867588218391
CNN-M,24,0.02157972677233638,0.0007908247241649934,0.9894775835460041
CNN-M,25,0.02019370458421876,0.0007400316522151762,0.9902176151982193
CNN-M,26,0.019083707242905642,0.0006993539666017923,0.9909169691648211
CNN-M,27,0.018448086473985367,0.0006760605938655213,0.9915930297586866
CNN-M,28,0.017159831055596275,0.0006288503466436882,0.9922218801053303
CNN-M,29,0.015436963331413445,0.0005657130137606666,0.9927875931190909
CNN-M,30,0.014317565972802171,0.0005246908489902764,0.9933122839680812
CNN-M,31,0.013452187489060033,0.0004929776253742574,0.9938052615934555
CNN-M,32,0.012362906990253055,0.00045305914266614334,0.9942583207361216
CNN-M,33,0.010838332943552834,0.00039718860905510657,0.9946555093451768
CNN-M,34,0.009895369670730148,0.0003626321627203144,0.9950181415078971
CNN-M,35,0.009706107069040987,0.0003556963221346286,0.9953738378300317
CNN-M,36,0.007902119556986557,0.0002895862206644663,0.9956634240506962
CNN-M,37,0.007309963932598296,0.0002678856999275721,0.9959313097506237
CNN-M,38,0.006784356273904386,0.0002486239392903397,0.9961799336899141
CNN-M,39,0.006475418108241796,0.00023730239003155336,0.9964172360799456
CNN-M,40,0.00610688418950904,0.00022379685598554832,0.9966410329359311
CNN-M,41,0.0054674623761945835,0.0002003641877004374,0.9968413971236315
CNN-M,42,0.004910685244728934,0.00017996017026046,0.997021357293892
CNN-M,43,0.0047273656699725365,0.0001732421217109938,0.997194599415603
CNN-M,44,0.004236409985249713,0.0001552502398839318,0.9973498496554869
CNN-M,45,0.004148708514629599,0.00015203627466353213,0.9975018859301504
CNN-M,46,0.0034226736332318842,0.0001254295274663642,0.9976273154576168
CNN-M,47,0.0033035992049412727,0.00012106584840307122,0.99774838130602
CNN-M,48,0.002972265262680325,0.000108923568926627,0.9978573048749466
CNN-M,49,0.002694401303942785,9.874078529631241e-05,0.9979560456602429
CNN-M,50,0.002442376500946761,8.950492019872625e-05,0.9980455505804416
CNN-M,51,0.002343536490121505,8.588276477841063e-05,0.99813143334522
CNN-M,52,0.0022746261237268266,8.335743060383527e-05,0.9982147907758239
CNN-M,53,0.0019989893402173374,7.325626548769244e-05,0.9982880470413116
CNN-M,54,0.0018570761909521448,6.805562377859999e-05,0.9983561026650902
CNN-M,55,0.0018488582846071242,6.775446502960017e-05,0.9984238571301198
CNN-M,56,0.0017377684209357383,6.368339352242655e-05,0.9984875405236423
CNN-M,57,0.001645804796007938,6.031323461893332e-05,0.9985478537582613
CNN-M,58,0.001600206083049497,5.86421944812118e-05,0.9986064959527425
CNN-M,59,0.001521267672199434,5.574936605733434e-05,0.9986622453187999
CNN-M,60,0.0014072803625878327,5.1572112858861864e-05,0.9987138174316588
CNN-M,61,0.001322085165980053,4.844999418848561e-05,0.9987622674258473
CNN-M,62,0.001296682285453128,4.751906368145738e-05,0.9988097864895288
CNN-M,63,0.0012404598922644253,4.5458701237835124e-05,0.9988552451907666
CNN-M,64,0.0011490400382016997,4.2108469715671534e-05,0.9988973536604823
CNN-M,65,0.001081061517096176,3.961728455055928e-05,0.9989369709450329
CNN-M,66,0.0010331463927803482,3.786135569334265e-05,0.9989748323007263
CNN-M,67,0.0010079182706035073,3.693682949464783e-05,0.9990117691302209
CNN-M,68,0.000985835176146326,3.6127558030414224e-05,0.9990478966882513
CNN-M,69,0.0009228239332054075,3.3818406976568406e-05,0.9990817150952279
CNN-M,70,0.0008936746777606843,3.27501843739431e-05,0.9991144652796019
CNN-M,71,0.0008475750607421804,3.106078777975151e-05,0.9991455260673816
CNN-M,72,0.0008321108474689434,3.0494076146872377e-05,0.9991760201435285
CNN-M,73,0.0007918383703402976,2.901822471683807e-05,0.9992050383682453
CNN-M,74,0.0007483001857791259,2.742269604497503e-05,0.9992324610642902
CNN-M,75,0.0007337615903763304,2.6889905207516365e-05,0.9992593509694977
CNN-M,76,0.0007168770281648462,2.627114254224199e-05,0.99928562211204
CNN-M,77,0.0007094002967973786,2.599714537426519e-05,0.9993116192574142
CNN-M,78,0.000629384537296695,2.306483572996057e-05,0.9993346840931442
CNN-M,79,0.0006220464004548728,2.2795917587249965e-05,0.9993574800107314
CNN-M,80,0.0006109834597653769,2.239049785642929e-05,0.9993798705085879
CNN-M,81,0.0005587243227312673,2.0475375479482446e-05,0.9994003458840673
CNN-M,82,0.000548864872964617,2.0114059660964988e-05,0.9994204599437283
CNN-M,83,0.0005442252564056247,1.9944033250334063e-05,0.9994404039769786
CNN-M,84,0.0005066215902234569,1.856598480468705e-05,0.9994589699617833
CNN-M,85,0.0004976796201710176,1.8238291545415712e-05,0.9994772082533288
CNN-M,86,0.00048626221117353726,1.7819881738082745e-05,0.9994950281350669
CNN-M,87,0.0004755605292896204,1.7427700932772494e-05,0.9995124558359997
CNN-M,88,0.00045615671892274326,1.6716616258576962e-05,0.9995291724522583
CNN-M,89,0.0004460032376076464,1.634452516840527e-05,0.9995455169774267
CNN-M,90,0.00042762699170888457,1.5671097291055782e-05,0.9995611880747177
CNN-M,91,0.0004214617246399409,1.544516089804032e-05,0.9995766332356157
CNN-M,92,0.00040711574886909547,1.4919428925085027e-05,0.9995915526645408
CNN-M,93,0.0004019745014328703,1.4731019422568581e-05,0.9996062836839634
CNN-M,94,0.0003784739728858358,1.3869803745372684e-05,0.9996201534877088
CNN-M,95,0.0003668650456127797,1.3444375434559455e-05,0.9996335978631434
CNN-M,96,0.0003650848945377306,1.337913885868666e-05,0.9996469770020021
CNN-M,97,0.00034988727356900583,1.2822196941054834e-05,0.9996597991989432
CNN-M,98,0.00033494449015953833,1.227459396661875e-05,0.9996720737929098
CNN-M,99,0.0003249169815030212,1.190711935255098e-05,0.9996839809122623
